,season,week,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,carries,rushing_yards_before_contact_avg,rushing_yards_after_contact_avg,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,rushing_first_downs,rushing_epa,ffpts,temp_week,ffpts_target
85,2018,3,4.04188679245283,61.53846153846154,2.8473,13,53,4.076923076923077,1,51.31476695368265,1.6852330463173502,0.1296333112551808,0.5384615384615384,13.0,1.4,2.7,0.43,192.0,0.0,8.0,-7.077342,120.0,2.0,8.0,1.8344624,5.0,-0.7449951,11.3,,
86,2018,3,5.668214285714286,6.25,3.269153846153846,16,56,3.5,0,55.17496371785685,-3.174963717856848,-0.2116642478571231,0.3333333333333333,16.0,0.9,2.6,0.55,255.0,1.0,12.0,-6.5725775,152.0,1.0,10.0,-0.23018521,4.0,-2.3286455,5.6000000000000005,,
88,2018,3,2.99175,21.052631578947366,2.4028888888888886,19,120,6.315789473684211,2,78.02611948702395,41.97388051297605,2.209151605946108,0.4736842105263157,19.0,2.3,4.0,0.52,220.0,2.0,7.0,6.010858,166.0,2.0,9.0,-2.6456802,6.0,2.2150397,24.0,,
89,2018,3,3.216333333333333,0.0,2.954375,10,90,9.0,0,55.45699415516787,34.54300584483213,3.454300584483213,0.4,10.0,4.2,4.8,0.43,251.0,2.0,12.0,7.622985,178.0,1.0,11.0,7.0224814,4.0,4.015693,9.0,,
94,2018,4,2.8058208955223884,10.526315789473683,2.5838333333333336,19,134,7.052631578947368,3,130.3878672478792,3.6121327521208,0.190112250111621,0.4210526315789473,19.0,3.5,3.6,0.84,227.0,0.0,12.0,7.757593,170.0,3.0,10.0,4.8368816,8.0,8.551852,31.4,,
96,2018,4,5.5553333333333335,0.0,2.8297777777777773,10,30,3.0,0,35.026225183289014,-7.026225183289014,-0.7806916870321127,0.2222222222222222,10.0,1.0,2.0,0.43,363.0,2.0,17.0,11.536174,96.0,0.0,6.0,-7.647183,3.0,-1.7296809,3.0,,
97,2018,4,3.4486153846153846,9.090909090909092,2.7016,11,65,5.909090909090909,1,63.6213111666177,1.3786888333822986,0.1253353484892998,0.4545454545454545,11.0,3.4,2.5,0.38,298.0,1.0,12.0,-1.598061,141.0,1.0,9.0,-0.2374444,4.0,2.1619043,12.5,,
99,2018,4,4.62,28.57142857142857,2.6585,14,51,3.642857142857143,0,74.03452360322672,-23.03452360322672,-1.645323114516194,0.3571428571428571,14.0,2.4,1.2,0.57,419.0,3.0,20.0,17.905077,92.0,1.0,4.0,-1.3025281,1.0,-2.244121,5.1000000000000005,,
101,2018,4,4.167358490566038,7.6923076923076925,2.838416666666667,13,53,4.076923076923077,0,61.67056343334374,-8.670563433343737,-0.6669664179495183,0.2307692307692307,13.0,3.6,0.5,0.48,354.0,6.0,15.0,23.282019,139.0,0.0,10.0,2.5545585,4.0,0.32199693,5.300000000000001,,
104,2018,4,7.319,40.0,3.0065714285714287,10,20,2.0,0,34.689585388444314,-14.689585388444314,-1.4689585388444315,0.2,10.0,1.1,0.9,0.24,422.0,3.0,22.0,14.341269,54.0,0.0,3.0,-1.4915392,0.0,-4.1669292,2.0,,
