,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,receiving_drop_pct,receiving_rat,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,passing_first_downs,passing_epa,draft_number,age,games_played,draft_pos_decay,fpts_gained,fpts_lost,pass_oe,td_prob,home_wp,punt_attempt,first_down,penalty_yards,total_home_epa,total_home_rush_epa,total_home_pass_epa,3d_pct,ffpts,ffpts_target
33,2018,1,5.9,3.741540585581926,17.341250000000002,40.31442520051146,7,8,87.5,169.0,2,11.775714285714283,10.312864631248496,1.4628496544657883,0.0,158.3,0.71,256.0,4.0,10.0,12.7521105,106.0,0.0,7.0,-1.2504128,0.0,,165.0,24.526,1,165.0,,,,,,,,,,,,,20.4,11.5
34,2018,1,5.89375,2.107691612529991,5.286999999999998,18.592629061752703,8,10,80.0,33.0,0,0.6000000000000014,1.029799443135266,-0.4297994431352645,0.0,80.4,0.94,132.0,0.0,6.0,-9.232809,113.0,2.0,7.0,2.954251,1.0,1.9314804,20.0,25.287,1,20.0,,,20.75572109222412,0.3208719044923782,0.568680502474308,4.75,22.75,70.5,0.7954350709915161,1.6465646922588348,9.723615646362305,0.2636844702064991,7.300000000000001,13.5
35,2018,1,5.83,3.201935584701103,7.433750000000002,17.94508147254074,5,8,62.5,119.0,0,16.556,10.337980977605184,6.218019022394817,0.0,106.2,0.75,335.0,1.0,17.0,-6.6874714,159.0,2.0,7.0,-5.1413617,0.0,,62.0,21.796,1,62.0,,,,,,,,,,,,,14.4,18.6
36,2018,1,5.8,2.43242339554304,9.22181818181818,27.764396759360626,10,11,90.9090909090909,135.0,1,5.362,4.441785657915067,0.9202143420849334,0.0,110.2,0.86,329.0,3.0,15.0,-3.8372416,146.0,0.0,8.0,-4.0300503,0.0,,82.0,31.483,1,82.0,0.0,0.0,-16.242863337198894,0.3467393716176351,0.4988810022672017,5.166666666666667,19.666666666666668,57.333333333333336,-5.163906097412109,-2.2373031762739024,-4.914805173873901,0.3259280274311701,18.5,
37,2018,1,5.718333333333334,2.791221955431968,6.318333333333332,10.94494326875884,4,6,66.66666666666666,28.0,0,5.352500000000001,5.128157042293594,0.2243429577064066,0.0,37.5,0.56,261.0,1.0,10.0,-13.54858,90.0,0.0,6.0,-8.591491,0.0,,177.0,24.361,1,177.0,,,,,,,,,,,,,4.800000000000001,
38,2018,1,5.707272727272728,2.8725511530001504,12.293333333333331,58.5466523792515,6,12,50.0,102.0,0,8.555000000000001,6.62262390759965,1.932376092400352,0.0,79.2,0.96,244.0,2.0,15.0,0.20115024,116.0,0.0,3.0,-13.987625,0.0,,,28.049,1,,,,77.63488292694092,0.3187746157248814,0.5135461986064911,5.666666666666667,20.5,73.83333333333333,-2.9552229245503745,0.1181573073069254,-0.8184173901875814,0.364674004415671,13.2,19.1
39,2018,1,5.656000000000001,3.2624400368355944,7.856666666666666,17.765215752779344,4,6,66.66666666666666,49.0,1,6.007500000000002,4.111053785250391,1.896446214749611,0.0,131.2,0.52,260.0,3.0,13.0,8.085815,117.0,3.0,11.0,-3.7188969,0.0,,,25.895,1,,,,-3.5317274729410806,0.3290421664714813,0.5723838905493418,5.666666666666667,24.0,85.66666666666667,4.366509119669597,3.087720970312754,6.821258060634136,0.3680243243773778,6.9,7.9
40,2018,1,5.54,2.725926833102939,14.29,27.233572190882757,4,5,80.0,106.0,2,12.03,5.728050486347499,6.301949513652501,0.2,158.3,0.95,230.0,2.0,9.0,2.2100847,120.0,0.0,7.0,-3.5549972,0.0,,144.0,26.382,1,144.0,,,91.62484741210938,0.3118060827255249,0.7327462434768677,4.0,18.0,61.0,7.089271545410156,-2.7354724407196045,21.52436065673828,0.2000000029802322,12.6,
41,2018,1,5.536666666666666,3.442265830382688,11.553333333333336,26.123987186734503,3,6,50.0,38.0,1,1.770000000000001,2.60118261329319,-0.8311826132931894,0.167,109.7,0.66,260.0,3.0,13.0,8.085815,117.0,3.0,11.0,-3.7188969,0.0,,10.0,30.987,1,10.0,,,-3.5317274729410806,0.3290421664714813,0.5723838905493418,5.666666666666667,24.0,85.66666666666667,4.366509119669597,3.087720970312754,6.821258060634136,0.3680243243773778,5.300000000000001,8.100000000000001
42,2018,1,5.485555555555556,2.477279234438431,5.544999999999999,16.23623799484657,9,10,90.0,142.0,1,11.343333333333334,5.591873013199802,5.751460320133532,0.0,152.1,0.87,341.0,3.0,14.0,2.0231357,69.0,0.0,2.0,-3.4063265,0.0,,64.0,28.049,1,64.0,,,129.3543577194214,0.3214080433050791,0.487352301677068,5.0,21.166666666666668,84.5,-6.192532300949097,-0.3234202861785888,-3.0981512144207954,0.4038896933197975,18.700000000000003,5.0
