season,week,player,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,team,opponent,carries,rushing_yards_before_contact_avg,rushing_yards_after_contact_avg,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,rushing_first_downs,rushing_epa,draft_number,age,games_played,draft_pos_decay,fpts_gained,fpts_lost,ffpts,ffpts_target
2018,2,Adrian Peterson,8.875499999999999,0.0,3.3112857142857144,11,20,1.8181818181818181,0,39.1056825838246,-19.105682583824603,-1.7368802348931458,0.18181818181818182,WAS,IND,11.0,0.7,1.1,0.34,292.0,0.0,16.0,-0.40867138,65.0,0.0,4.0,-4.4166017,1.0,-5.371615,7.0,33.489,1,7.0,4.294999986886978,8.589999973773956,2.0,24.0
2018,2,Ezekiel Elliott,4.035,29.411764705882355,3.0995882352941178,17,78,4.588235294117647,1,76.99526808556885,1.0047319144311473,0.05910187731947925,0.35294117647058826,DAL,NYG,17.0,2.1,2.5,0.94,160.0,1.0,6.0,-2.1361277,138.0,1.0,9.0,7.5333433,5.0,1.0800166,4.0,23.154,1,4.0,,,13.8,12.700000000000001
2018,2,David Johnson,3.6577083333333333,15.384615384615385,2.8285,13,48,3.6923076923076925,0,59.63415402481627,-11.634154024816269,-0.8949349249858668,0.38461538461538464,ARI,LA,13.0,1.9,1.8,0.78,90.0,0.0,4.0,-13.068715,54.0,0.0,1.0,-3.6781776,1.0,-3.536241,86.0,26.752,1,86.0,,,4.800000000000001,3.1
2018,2,Saquon Barkley,6.389285714285714,18.181818181818183,3.102333333333333,11,28,2.5454545454545454,0,31.97983639313124,-3.97983639313124,-0.3618033084664764,0.6363636363636364,NYG,DAL,11.0,0.5,2.0,0.85,279.0,1.0,11.0,-6.9303923,35.0,0.0,6.0,0.036941886,4.0,-1.8576286,2.0,21.599,1,2.0,,,2.8000000000000003,14.200000000000001
2018,2,Matt Breida,2.454782608695652,0.0,2.751545454545455,11,138,12.545454545454545,1,53.19209859507812,84.80790140492188,7.709809218629261,0.45454545454545453,SF,DET,11.0,8.3,4.3,0.39,206.0,2.0,13.0,4.388481,190.0,1.0,6.0,3.2210937,4.0,7.568175,,23.548,1,,,,19.8,9.0
2018,2,Alvin Kamara,4.0823913043478255,69.23076923076923,2.4136666666666664,13,46,3.5384615384615383,0,37.82127346432685,8.17872653567315,0.6291328104363961,0.38461538461538464,NO,CLE,13.0,0.4,3.2,0.77,243.0,2.0,11.0,3.4693239,62.0,0.0,4.0,-5.918497,4.0,-0.38982752,67.0,23.146,1,67.0,,,4.6000000000000005,6.6000000000000005
2018,2,Phillip Lindsay,2.437570093457944,7.142857142857142,2.371166666666667,14,107,7.642857142857143,0,64.31454048194243,42.68545951805757,3.048961394146969,0.5714285714285714,DEN,OAK,14.0,5.6,2.0,0.42,222.0,0.0,9.0,-0.7741718,168.0,2.0,10.0,6.7105236,4.0,4.2950063,,24.148,1,,,,10.700000000000001,
2018,2,Rashaad Penny,5.765333333333334,0.0,2.813666666666667,10,30,3.0,0,43.61329387324878,-13.613293873248779,-1.361329387324878,0.3,SEA,CHI,10.0,2.0,1.0,0.3,226.0,2.0,10.0,-11.323742,74.0,0.0,6.0,-1.8097643,2.0,-1.8058072,27.0,22.623,1,27.0,,,3.0,
2018,2,Dion Lewis,4.577619047619048,28.57142857142857,2.4004999999999996,14,42,3.0,0,41.2418583346106,0.7581416653894024,0.05415297609924303,0.5,TEN,HOU,14.0,0.6,2.4,0.58,191.0,2.0,7.0,7.565305,100.0,0.0,7.0,-5.61053,1.0,-4.8089986,149.0,27.97,1,149.0,1.8483333428700768,7.393333371480306,4.2,
2018,2,Austin Ekeler,3.2015584415584413,27.27272727272727,3.1172727272727276,11,77,7.0,0,85.76892340930772,-8.768923409307718,-0.7971748553916107,0.2727272727272727,LAC,BUF,11.0,1.3,5.7,0.41,256.0,3.0,16.0,17.62978,109.0,1.0,5.0,-7.122743,4.0,2.060551,,23.335,1,,,,7.7,
